Percent,Sample,Time,Healthy,Infected,Dead
0.0,1.0,0.0,0.999125,0.000875,0.0
0.0,1.0,0.1,0.9989,0.0011,0.0
0.0,1.0,0.2,0.9989,0.0011,0.0
0.0,1.0,0.3,0.9989,0.0011,0.0
0.0,1.0,0.4,0.9989,0.0011,0.0
0.0,1.0,0.5,0.9989,0.0011,0.0
0.0,1.0,0.6,0.9988,0.0012,0.0
0.0,1.0,0.7,0.99855,0.00145,0.0
0.0,1.0,0.8,0.9984,0.0016,0.0
0.0,1.0,0.9,0.997975,0.002025,0.0
0.0,1.0,1.0,0.997975,0.002025,0.0
0.0,1.0,1.1,0.997975,0.002025,0.0
0.0,1.0,1.2,0.997725,0.002275,0.0
0.0,1.0,1.3,0.99745,0.00255,0.0
0.0,1.0,1.4,0.99675,0.00325,0.0
0.0,1.0,1.5,0.99635,0.00365,0.0
0.0,1.0,1.6,0.99635,0.00365,0.0
0.0,1.0,1.7,0.996175,0.003825,0.0
0.0,1.0,1.8,0.996175,0.003825,0.0
0.0,1.0,1.9,0.995825,0.004175,0.0
0.0,1.0,2.0,0.995325,0.004675,0.0
0.0,1.0,2.1,0.994775,0.005225,0.0
0.0,1.0,2.2,0.99445,0.00555,0.0
0.0,1.0,2.3,0.99415,0.00585,0.0
0.0,1.0,2.4,0.994,0.006,0.0
0.0,1.0,2.5,0.993775,0.006225,0.0
0.0,1.0,2.6,0.99365,0.00635,0.0
0.0,1.0,2.7,0.9932,0.0068,0.0
0.0,1.0,2.8,0.993125,0.006875,0.0
0.0,1.0,2.9,0.99275,0.00725,0.0
0.0,1.0,3.0,0.9925,0.0075,0.0
0.0,1.0,3.1,0.992375,0.007625,0.0
0.0,1.0,3.2,0.9918,0.0082,0.0
0.0,1.0,3.3,0.9917,0.0083,0.0
0.0,1.0,3.4,0.991625,0.008375,0.0
0.0,1.0,3.5,0.991025,0.008975,0.0
0.0,1.0,3.6,0.990575,0.009425,0.0
0.0,1.0,3.7,0.99005,0.00995,0.0
0.0,1.0,3.8,0.9892,0.0108,0.0
0.0,1.0,3.9,0.9889,0.0111,0.0
0.0,1.0,4.0,0.98855,0.01145,0.0
0.0,1.0,4.1,0.9878,0.0122,0.0
0.0,1.0,4.2,0.987325,0.012675,0.0
0.0,1.0,4.3,0.9871,0.0129,0.0
0.0,1.0,4.4,0.986625,0.013375,0.0
0.0,1.0,4.5,0.985975,0.014025,0.0
0.0,1.0,4.6,0.985675,0.014325,0.0
